configuration_id,density_name,gap,target_index,target_slice,target_z,seed,n_obs,n_genes,mean_per_gene_spot_pearson,median_per_gene_spot_pearson,gene_mean_pearson,log1p_gene_mean_pearson,gene_variance_pearson,gene_zero_fraction_pearson,library_size_pearson,relative_error_gene_mean,zero_pattern_jaccard,donor_supported
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,22,116,10.354266571312971,52048,19003,1122,0.1504129241119902,0.112446317958393,0.9766954070885258,0.9793290427691104,0.974025687966371,0.9792436813345022,0.3246024934200955,0.2379035638272472,0.8866923808455078,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,23,121,10.702504977376009,52049,18805,1122,0.1256716092439937,0.0786935355190185,0.9380623153208236,0.9479989325748764,0.8395628951201647,0.9571395255172062,0.3159153028685451,0.3136528969154499,0.9077850352960888,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,24,126,11.067791421558011,52050,20175,1122,0.1145033206386539,0.0578608019201265,0.9782031870464064,0.9876930032243516,0.9505981689222462,0.986782705835145,0.2492065357337299,0.2897195583428361,0.9131650633498664,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,25,131,11.533454649051524,52051,16997,1122,0.1212836203196419,0.070028445297349,0.9129788969596588,0.9145199416798838,0.8692891637822673,0.918167564341953,0.3219151911513547,1.8331908032709496,0.9137346074881058,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,26,136,12.046132738254242,52052,14630,1122,0.1382523270737935,0.0848975206598115,0.976613993544218,0.9861901682710138,0.9562544891587704,0.9892185217249346,0.3342053157214068,0.2417411061583368,0.9005901055968549,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,27,141,12.557298711671177,52053,10682,1122,0.1151676196665464,0.069737953296561,0.913527131770276,0.9305837328467244,0.7303580897340471,0.9371191061196328,0.3905549986281488,0.5240732544253789,0.8992745780747092,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,28,146,13.057739820419144,52054,14027,1122,0.1115532135543896,0.0682382694701092,0.9719791116782776,0.9738099024048495,0.9711681902044528,0.9762159795775294,0.3336811484755539,0.2267847597911924,0.8959273380637814,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,0,6,0.2,102026,10442,1122,0.094235506368767,0.0405194344089703,0.9333778352426444,0.9549687520772804,0.9330222146481472,0.9623568427173506,0.0955703799769538,0.2962347196054701,0.8605265281648713,False
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,1,16,0.9752523511274424,102027,9580,1122,0.106575779894756,0.0528466409973789,0.9014859599635432,0.9263664065188424,0.8872090550583664,0.9479036601409268,0.1085277692057166,0.4834034466402597,0.8762196917941705,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,2,26,1.970855827266864,102028,9135,1122,0.1292562118943908,0.08321250353229,0.9298876521211608,0.9437950057911187,0.8976871125396473,0.9588009196966748,0.2161181517830442,0.340318797586665,0.8580017907221628,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,3,36,2.760884455979676,102029,9533,1122,0.1509432448483388,0.1026842242510945,0.9751263087397376,0.982601829862312,0.9760396936510208,0.9850540780897488,0.4308865354383933,0.2488403615263471,0.8545446167857719,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,4,46,3.7842382240187393,102030,21795,1122,0.1547169981659436,0.1035967266801347,0.9437621702812402,0.9615552532008638,0.9110063380928758,0.9672943366406856,0.3179899007866597,0.3074954180779706,0.8565612055529483,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,5,56,4.791846418988289,102031,22963,1122,0.168097924696956,0.1227556432103054,0.959676488674032,0.972763666680154,0.93908839309778,0.975136540237427,0.3087326625513198,0.2595535131309472,0.8588165721762168,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,6,66,5.752391808790593,102032,26940,1122,0.1433186131839616,0.0977153230215691,0.9734605568764492,0.97081838640456,0.9749628915617105,0.9698458024325792,0.2927720861013624,0.3427219684038625,0.8652589941643519,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,7,76,6.418447464831936,102033,27848,1122,0.1409658786254653,0.0845018841615266,0.974242709263758,0.9753249035721562,0.9850023854077824,0.9784193147299154,0.3614532075483613,0.293902044383353,0.888366284922068,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,8,86,7.463723138174608,102034,30109,1122,0.1273728004753647,0.0749023557741979,0.9842918701562672,0.9824927885462744,0.983794200611256,0.984192723283621,0.3616250483096868,0.3015590190678903,0.8924383467613944,True
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,9,96,8.469022199413168,102035,28442,1122,0.1489245323283503,0.1039822983453468,0.9582960561181492,0.9567370108311078,0.9618724255639354,0.9544179131660452,0.3434434520677908,0.5818574961729593,0.8716224136266765,False
study06-allen-abca1-conditional-stack-v5,sparse_gap10,10,10,106,9.307552976701205,102036,27169,1122,0.1308542456210264,0.0856964618096625,0.961462937732114,0.9612154660354586,0.9659908720730712,0.9580930317350402,0.3474090488766421,0.523897061321499,0.870014783140853,False
