method,mode,alpha,alpha_stratum,metric,metric_label,value,analysis_role,support_variant,representation,supplementary_diagnostic_only,active_manuscript_claim,winner_ranking_authorized,composite_score_used
STAMP,diagonal_affine,0.25,interpolation,batch_asw,Batch ASW,0.000470533882568,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.972229032379,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.356687898089,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,3,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,domain_asw,Domain ASW,0.173238402581,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,domain_purity_k30,Domain purity (k=30),0.727743930582,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,centroid_distance,Centroid distance,0.134244298016,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,covariance_distance,Covariance distance,0.0419729182245,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.000664579276301,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.25,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,batch_asw,Batch ASW,0.0257802369099,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.690137521829,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.0703406258654,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,59,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,domain_asw,Domain ASW,0.126268883862,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,domain_purity_k30,Domain purity (k=30),0.705557094064,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,centroid_distance,Centroid distance,0.795449819671,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,covariance_distance,Covariance distance,0.241849947553,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0240584346873,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.5,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,batch_asw,Batch ASW,0.0163216210168,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.462645867837,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.0304624757685,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,107,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,domain_asw,Domain ASW,0.106769396452,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,domain_purity_k30,Domain purity (k=30),0.686951906212,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,centroid_distance,Centroid distance,0.372041487673,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,covariance_distance,Covariance distance,0.245513688577,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0117189330301,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,0.75,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,batch_asw,Batch ASW,0.0116348960907,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.607512455316,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,paired_retrieval_top1,Paired retrieval top-1,0.0276931597895,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,85,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,domain_asw,Domain ASW,0.128511164111,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,domain_purity_k30,Domain purity (k=30),0.701887750392,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,centroid_distance,Centroid distance,0.404067017837,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,covariance_distance,Covariance distance,0.235150819193,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0129658697237,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,batch_asw,Batch ASW,0.0118590454395,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.707402902547,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,paired_retrieval_top1,Paired retrieval top-1,0.0257546386043,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,paired_retrieval_median_rank,Paired retrieval median rank,104,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,domain_asw,Domain ASW,0.129433177001,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,domain_purity_k30,Domain purity (k=30),0.681939444291,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,centroid_distance,Centroid distance,0.596062800354,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,covariance_distance,Covariance distance,0.239320031577,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,mmd2_rbf_biased,Biased RBF MMD²,0.0151492187746,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.25,extrapolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,batch_asw,Batch ASW,0.013898607177,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.714187923236,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,paired_retrieval_top1,Paired retrieval top-1,0.0135696482969,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,paired_retrieval_median_rank,Paired retrieval median rank,124,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,domain_asw,Domain ASW,0.128897336796,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,domain_purity_k30,Domain purity (k=30),0.680900950798,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,centroid_distance,Centroid distance,0.684282889092,primary,all_spots_primary,native_10d_topics,True,False,False,False
STAMP,diagonal_affine,1.5,extrapolation,covariance_distance,Covariance distance,0.240541684153,primary,all_spots_primary,native_10d_topics,True,False,False,False
